Name,Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,ID,Uri,Ref_Track,URL_features,Duration_ms,time_signature,Genre
EdgeofYourSword,0.446,0.826,5.0,-6.151,0.0,0.0564,0.0598,0.000482,0.0916,0.277,142.02,audio_features,716MGFv7rw3K8OYqGgF38t,spotify:track:716MGFv7rw3K8OYqGgF38t,https://api.spotify.com/v1/tracks/716MGFv7rw3K8OYqGgF38t,https://api.spotify.com/v1/audio-analysis/716MGFv7rw3K8OYqGgF38t,302423.0,4.0,celticmetal

AVagabond\sLife,0.497,0.621,8.0,-6.186,0.0,0.0273,0.0731,0.00127,0.129,0.27,128.057,audio_features,7paTi502Yhzr4SRskGi2sA,spotify:track:7paTi502Yhzr4SRskGi2sA,https://api.spotify.com/v1/tracks/7paTi502Yhzr4SRskGi2sA,https://api.spotify.com/v1/audio-analysis/7paTi502Yhzr4SRskGi2sA,252543.0,4.0,celticmetal

IfItBleedsWeCanKillIt,0.56,0.897,4.0,-7.842,0.0,0.0332,0.000295,0.0,0.113,0.626,140.004,audio_features,3BsT7xB5kUsCDrmkBvkYVF,spotify:track:3BsT7xB5kUsCDrmkBvkYVF,https://api.spotify.com/v1/tracks/3BsT7xB5kUsCDrmkBvkYVF,https://api.spotify.com/v1/audio-analysis/3BsT7xB5kUsCDrmkBvkYVF,272000.0,4.0,celticmetal

TwilightOfTheGods,0.544,0.952,8.0,-6.516,1.0,0.0483,0.000269,0.0196,0.0954,0.351,94.007,audio_features,06HNCfXJcMnKHmRrkue97s,spotify:track:06HNCfXJcMnKHmRrkue97s,https://api.spotify.com/v1/tracks/06HNCfXJcMnKHmRrkue97s,https://api.spotify.com/v1/audio-analysis/06HNCfXJcMnKHmRrkue97s,291107.0,4.0,celticmetal

Bannlyst,0.267,0.785,10.0,-9.57,1.0,0.0855,0.00339,0.0214,0.356,0.186,105.015,audio_features,63CQ0Q5N0p9CmURVoDuEoS,spotify:track:63CQ0Q5N0p9CmURVoDuEoS,https://api.spotify.com/v1/tracks/63CQ0Q5N0p9CmURVoDuEoS,https://api.spotify.com/v1/audio-analysis/63CQ0Q5N0p9CmURVoDuEoS,210307.0,4.0,celticmetal

Draugen\sMaelstrom,0.454,0.978,4.0,-4.788,0.0,0.127,0.00279,0.0,0.341,0.436,159.996,audio_features,5UlcIOHfJnuG6566c6MGQP,spotify:track:5UlcIOHfJnuG6566c6MGQP,https://api.spotify.com/v1/tracks/5UlcIOHfJnuG6566c6MGQP,https://api.spotify.com/v1/audio-analysis/5UlcIOHfJnuG6566c6MGQP,264867.0,4.0,celticmetal

M�ri,0.163,0.922,1.0,-6.206,0.0,0.118,0.0299,0.812,0.067,0.186,104.417,audio_features,0VCxgF4F8kI5fWNIYoRJPu,spotify:track:0VCxgF4F8kI5fWNIYoRJPu,https://api.spotify.com/v1/tracks/0VCxgF4F8kI5fWNIYoRJPu,https://api.spotify.com/v1/audio-analysis/0VCxgF4F8kI5fWNIYoRJPu,399467.0,3.0,celticmetal

Scyth,0.388,0.9,1.0,-5.328,1.0,0.115,0.000498,9.42e-05,0.351,0.558,187.036,audio_features,6z35Tv7O0zcdnwtPfNHW2z,spotify:track:6z35Tv7O0zcdnwtPfNHW2z,https://api.spotify.com/v1/tracks/6z35Tv7O0zcdnwtPfNHW2z,https://api.spotify.com/v1/audio-analysis/6z35Tv7O0zcdnwtPfNHW2z,195241.0,4.0,celticmetal

